Ngày,Giá_Vàng_TG_USD,Tỷ_Giá_USD_VND,Giá_Quy_Đổi_Triệu_Đồng,Giá_SJC_Triệu_Đồng,Chênh_Lệch_SJC_TG,SMA_7,SMA_30,Lợi_Suất_%,Tháng_Năm
2023-01-02,1839.7,23610.0,52.37,55.27,2.9,55.27,55.27,,2023-01
2023-01-03,1839.7,23610.0,52.37,55.27,2.9,55.27,55.27,0.0,2023-01
2023-01-04,1852.8,23515.0,52.53,55.43,2.9,55.32,55.32,0.29,2023-01
2023-01-05,1834.8,23510.0,52.01,54.91,2.9,55.22,55.22,-0.94,2023-01
2023-01-06,1864.2,23475.0,52.76,55.66,2.9,55.31,55.31,1.37,2023-01
2023-01-09,1872.7,23460.0,52.97,55.87,2.9,55.4,55.4,0.37,2023-01
2023-01-10,1871.6,23447.0,52.91,55.81,2.9,55.46,55.46,-0.11,2023-01
2023-01-11,1874.6,23445.0,52.99,55.89,2.9,55.55,55.51,0.14,2023-01
2023-01-12,1895.5,23440.0,53.57,56.47,2.9,55.72,55.62,1.04,2023-01
2023-01-13,1918.4,23438.0,54.21,57.11,2.9,55.96,55.77,1.14,2023-01
2023-01-16,1918.4,23435.0,54.2,57.1,2.9,56.27,55.89,-0.01,2023-01
2023-01-17,1907.2,23434.0,53.88,56.78,2.9,56.43,55.96,-0.56,2023-01
2023-01-18,1904.4,23427.0,53.79,56.69,2.9,56.55,56.02,-0.17,2023-01
2023-01-19,1922.1,23437.0,54.31,57.21,2.9,56.75,56.1,0.92,2023-01
2023-01-20,1926.4,23440.0,54.44,57.34,2.9,56.96,56.19,0.22,2023-01
2023-01-23,1927.1,23440.0,54.46,57.36,2.9,57.09,56.26,0.03,2023-01
2023-01-24,1933.9,23440.0,54.65,57.55,2.9,57.15,56.34,0.34,2023-01
2023-01-25,1941.2,23440.0,54.86,57.76,2.9,57.24,56.42,0.36,2023-01
2023-01-26,1929.1,23440.0,54.52,57.42,2.9,57.33,56.47,-0.59,2023-01
2023-01-27,1928.6,23440.0,54.5,57.4,2.9,57.44,56.51,-0.02,2023-01
2023-01-30,1922.9,23460.0,54.39,57.29,2.9,57.45,56.55,-0.2,2023-01
2023-01-31,1929.5,23470.0,54.6,57.5,2.9,57.47,56.59,0.37,2023-01
2023-02-01,1927.8,23445.0,54.49,57.39,2.9,57.47,56.63,-0.18,2023-02
2023-02-02,1916.3,23440.0,54.16,57.06,2.9,57.4,56.65,-0.59,2023-02
2023-02-03,1862.9,23449.0,52.67,55.57,2.9,57.09,56.6,-2.61,2023-02
2023-02-06,1866.2,23440.0,52.74,55.64,2.9,56.83,56.57,0.13,2023-02
2023-02-07,1871.7,23480.0,52.99,55.89,2.9,56.62,56.54,0.44,2023-02
2023-02-08,1877.4,23600.0,53.42,56.32,2.9,56.48,56.53,0.77,2023-02
2023-02-09,1866.2,23590.0,53.08,55.98,2.9,56.26,56.51,-0.61,2023-02
